name	type	fake	cs	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
brahma	whisky	a	334.563338040991	-0.0527753009631245	-0.0230987120885544	0.00245381710611338	-0.015399222003602	0.00604999757385881	-0.000973248073729908	-0.00140517818960301	-0.00314309474577888	-0.00817727750851583	0.00728687681797345	-0.00338171944039105	-0.000166694358742524	-0.000368426395611919	-0.000694154514951431	-0.00125505421582176	0.00233196407745025	-5.19390704551819e-05	-0.000110011940382861	8.20502156705316e-05	7.0772513610772e-06	0.000133576003332238	-0.000101943744830497	-8.17835935700852e-05	0.00014017252541753	1.17831456254185e-05	-3.07053641127202e-05	-1.04146720490885e-05	-0.000107787175709317	-2.17152742291955e-05	-3.20490074088494e-05	2.5833526020062e-05	4.5363708567912e-06	4.00992179108237e-05	-6.88277185848955e-06	1.04481855239593e-06	6.89967664214294e-07	2.97649132148886e-06	-5.50189900975449e-18	8.8965645397024e-18	-5.64100820045616e-18
caney	whisky	a	306.710774121336	-0.036927966256441	0.00724966757553939	-0.00865572886078522	-0.00920871285575768	-0.00277405010338685	-0.00282113490413269	-0.000869052420892531	-0.00234045937743118	-0.00143075478200535	-0.00186952483703213	0.0016518396365129	0.0019342710271392	3.12085355924012e-06	0.000928684951038111	0.000893356328410308	7.1754600401877e-05	-0.000348171809861819	0.000771585812555348	-6.4323939944419e-05	-0.00048965794080906	-0.000795747099646868	-0.000392519922560428	5.20858785566042e-05	0.000623036049475857	-0.000135837055741285	4.63616118686231e-05	-8.66530368532643e-05	6.10195978362574e-05	-9.73637275462994e-05	9.7086191334088e-05	-9.92596414358583e-05	-0.000104428715204549	2.13991324154213e-05	1.76790113647647e-05	6.34161718938886e-05	2.76899520218554e-05	-2.88202916051266e-07	-2.48099416938367e-17	1.63790203602915e-18	-5.55460176467529e-19
chimay	whisky	a	219.890176893853	0.0809131944080387	-0.00479058491422902	-0.00221956976989715	-0.0106883948864731	-0.000996373228084867	-0.0069137531297676	0.00377213642665652	-0.00263646210768832	0.00310195998732413	-0.00281773316647219	-0.00287596525108768	-0.00155240605499976	-0.00171765596424915	-0.00230684836368028	-0.000615065659784024	-0.000166689384267655	0.00202017030728019	-0.000833656313220262	0.000521788288963529	-0.00030429850218728	-0.000573079038783021	-0.000185135607338951	9.35196599307024e-05	0.000216414912551413	-0.000258109868051563	-1.01463597687027e-05	0.000162379582739017	-4.28601138062986e-05	4.52825916340747e-05	5.87895545781665e-05	4.13013511255568e-05	2.58987020136672e-05	-5.61301773461349e-06	-6.87330046991052e-06	-1.19950629177859e-05	-2.48169583576488e-06	-1.1200161143884e-05	-1.96188107899692e-17	-5.46854174352854e-18	-6.81062480015673e-20
corona	whisky	a	244.517260753727	-0.0693674709510704	0.00229426723434029	-0.0158445158523683	-0.00619210786162294	-0.000309368376863007	0.00385788979715654	0.000671049490930692	0.00179736615090343	-0.00019902942146566	-0.000248269644968292	0.00434117499174955	-0.00362918972360037	0.00167646370181267	-0.000925351798061185	0.000767361287261721	0.000513425114032477	-0.00118650916147873	-7.1377379398071e-05	-0.000322637242838372	-0.000263501336120825	-0.000139059169545504	-0.000142945982526315	0.000234440926699391	-8.62345989596964e-07	0.000127775504967142	-4.70089521078115e-05	0.000389879977095776	-6.70364530287301e-05	-2.50227426393696e-05	1.21492447293504e-05	0.000246857077888291	6.33489312065803e-05	-1.43642813206968e-05	1.43646244744354e-05	1.09253428180935e-05	-1.29162579478017e-06	-8.44988448231183e-06	9.52935909049551e-18	6.47551175217026e-18	5.62154870043275e-19
deusventrue	whisky	a	277.222528815377	-0.0111724210476795	0.0475689843856807	-0.0126767959693374	0.017506464647238	0.0135375179331317	-0.00699409274103085	-0.00303355586436659	0.000172071722580192	0.00750693844000279	0.00173338853953623	0.0016849791090342	0.00114385983888048	-0.000435120318045919	-0.000402049630481796	0.0005215219303756	0.00244804251596143	0.000387395074146987	0.000155359082871473	-0.000169375435011984	4.34857690564027e-05	-0.000128117414714598	0.000222464537878732	-0.000238376606405824	0.000216521415997243	6.23619349231822e-05	-2.96630386080024e-05	2.2089998807503e-05	-0.000206923084718156	-2.60515850516331e-05	1.51318045652587e-05	-9.8944957193256e-06	4.24012861416563e-06	6.99485824091739e-05	-3.00095969012426e-05	-3.64160556580215e-06	-1.19975303812091e-06	1.63768113055238e-06	-1.28531097737753e-17	-5.56818673976349e-18	6.72556694325877e-18
duvel	whisky	a	209.911346753702	0.11514484369933	-0.0169960574228305	-0.0102673461554255	-0.00912040020340374	0.000377052758435289	0.00126257297098768	0.00639445945976733	-0.00047363813352238	0.00180922315724786	0.00157915067636196	0.00253868214546229	0.00191064053078989	-0.00272599853860598	-0.000988248281538971	0.000299011815798327	0.000512753545373495	-0.000879752212789325	0.000368702797390006	0.000785700067811207	-0.000270623903228031	0.000355369360449851	0.000337670042387221	5.05573317578162e-05	-0.000385915159055314	0.000372165884422749	0.000155696226853502	-3.72410568997969e-05	2.59367780616424e-05	-0.000172268488789249	-6.33501066976986e-05	2.05144987709972e-05	-8.52697300103648e-05	-0.000110799629461289	-2.71666711596885e-06	1.57808717515084e-05	-4.67066432229799e-06	-9.72973104655737e-07	-5.09625271615549e-17	-7.28300900880872e-18	4.23229202360014e-19
franziskaner	whisky	a	266.915660468108	-0.0442545921152359	-0.01859898357101	-0.00495804329566719	-0.000222838702976474	0.00189848771979117	0.00321998201115295	0.00445050265789776	-0.000768209464252369	0.000538702957280157	0.00229226082225388	-0.00270756577623659	-0.00195122430271075	0.000457883630383643	0.000243251925444187	0.0028405954090053	0.000673146235064259	0.000331268522059425	0.000611641521448626	-0.000335668233934671	-0.000207103674903965	-0.000450899301282052	0.000291340523027092	0.000145858074922909	-0.000449343208875327	9.27086237154859e-05	-3.97274142152846e-05	1.515776285571e-05	0.000216337171537224	0.000114150505787452	-7.6544745422882e-06	-0.000223420032971668	3.37412295763163e-05	-2.26432703285542e-06	1.21303642590274e-05	-3.68411162943184e-05	1.39437622006716e-05	6.36497773696569e-07	-8.42895166972993e-17	5.91969737671095e-18	-3.56223971845463e-18
grimbergen	whisky	a	250.977640106725	0.0287499638016462	0.00995547948175408	-0.0114438833967319	-0.00871815392026166	-0.00445538663256116	-0.00422813647947406	-0.00123762516467812	-0.00298434728190247	0.000524016285151912	-0.00520438988337709	-0.00389575405147389	0.00159912438278098	0.00302205089741042	0.00109208621526129	-0.000795482877767138	0.00108316327873069	-0.000386006367528613	4.63788954895521e-05	-0.000124363611168914	0.000263777571411509	0.000347190512155691	0.000856015718828787	0.000442089494025902	-0.000214810911034177	-0.000160597982095957	4.01108300878199e-05	0.000103265851130568	-4.94142771526454e-05	3.0759357403938e-05	0.000106357504000976	5.07004116656187e-05	-2.65792105686535e-05	-2.96495964080144e-06	-2.51757248160154e-05	1.37739967833904e-05	-6.38833712655941e-06	2.19836105425834e-06	-6.54134696677024e-17	-1.73038774957864e-18	1.19248101071905e-18
guiness	whisky	a	239.550879102932	0.012311384636402	0.000602741617439591	0.00363963080719671	-0.00818732838154741	-0.0039082513148897	0.000375773270227295	-0.000862119926039081	-0.00316976834744527	0.00261164805873798	-0.000458673925046937	-0.00271149942169896	0.000268714459561781	-0.000852071108649991	0.00268669480371713	0.00119860557948738	-0.000761133699414075	-0.000800440968884911	-0.000499059502867529	0.000549331968671173	-9.92694153208593e-05	-0.000100665372577317	-0.000207433903532949	-0.000292479832174297	-0.000127050364747831	0.00037329647299308	-0.000254605436014226	0.000281253569933714	-2.65476917406869e-05	-0.000125725436728813	8.06977090530457e-05	-4.59997207994069e-05	2.29175524421455e-05	9.87492236143414e-05	-3.8667282157726e-05	-1.38180689616818e-05	-1.09505755985712e-05	1.09257004564356e-06	8.39707580441935e-17	6.39789661287707e-19	-7.80306825259697e-19
hoegardeen	whisky	a	325.117433496993	-0.0457971559899692	0.00563783111849052	-0.00888935207422954	-0.00524920509694607	0.00399318924523354	-0.0024249471348678	-0.000234842753102593	0.00098598468551583	0.000225299825257906	-0.00273060845163365	0.000454842752412423	-0.00305092449958293	-0.000469673624697933	-0.00152938391693077	-0.00122456049296013	-0.000931161279113734	-0.000505885642535978	-0.000769308978808817	-0.000492227935573204	0.000399678212376274	4.18740175778957e-05	0.000175833341831238	9.53314573525657e-05	-0.000217553163827822	0.000309266972823222	-1.00149861976094e-05	-0.000357987073092627	6.44113273442323e-05	-0.000141359505640109	-5.06795559822733e-05	-0.000147555312107332	7.942632159198e-07	0.000151249484042878	-4.28301514546717e-05	3.05302014123404e-05	1.66350897110792e-06	-4.14324875242364e-06	-6.93108857611195e-17	3.82548201836745e-18	-4.10420258427653e-20
